persistent_identifier,dataset_type,title,contact_owner,contact_originator,contact_metadata,contact_PointOfContact,contact_PrincipalInvestigator,contact_publisher,contact_processor,contact_data_structure_definition,subject,description,date_publication,date_download,format,langage,relation_source_download,relation_source_dataset,relation_source_metadata,rights,source,lineage,supplemental_information,database_table_name,database_view_name,path_to_dataset
catchtype_tunaatlas,codelist,Référentiel pour les types de captures utilisé par l’Ob7 de l’IRD,ird@ird.fr,ob7@ird.fr,paul.taconet@ird.fr;chloe.dalleau@ird.fr,paul.taconet@ird.fr,laurent.floch@ird.fr,ird@ird.fr,chloe.dalleau@ird.fr,,,"// Français
Référentiel pour les types de captures utilisé par l’Observatoire des Ecosystèmes Pélagiques Tropicaux exploités (Ob7) de l’Institut de Recherche pour le Développement (IRD). Ce référentiel a été construit en utilisant en entrée les référentiels pour les types de captures utilisés dans les différentes bases de données de l’Ob7.

// English
Code list for types of catch used by the Observatory of Exploited Tropical Pelagic Ecosystems (Ob7) of the French National Research Institute for Sustainable Development (IRD). This code list was built using as input the code lists for types of catch of the various ob7 databases.",,2017-07-20,,,,,,,IRD,"step1 : The table public.espece was extracted from Balbaya database on the %date_download%. The column used as species code is the column named c_esp
step2 : The table species.code was extracted from T3_prod database on the %date_download%. The column used as species code is the column named c_code
step3 : The table observe_seine.speciesfate was extracted from Observe database. The column used as species code is the column named code
step4 : The table observe_seine.targetcatch was extracted from Observe database. The column used as species code is the column named discarded
step5 : The table observe_seine.targetsample was extracted from Observe database. The column used as species code is the column named discarded
step6 : The table observe_longline.catchfate was extracted from Observe database. The column used as species code is the column named code
step7 : All the tables previously collated were merged.
step8 : Some minor adaptations (including removal of redundant codes between the code lists) were made to compose this code list.
step9 : The code list was integrated into the French Tuna atlas database",,catchtype.catchtype_tunaatlas,NA,http://data.d4science.org/bGFqKytaSnVlZDZqYjQ5MXd6SmtUVXNlY2JjVng0UkdHbWJQNStIS0N6Yz0
species_ob7_observe,codelist,Référentiel pour les espèces utilisé par l’Ob7 de l’IRD dans la base de données Observe,ird@ird.fr,ob7@ird.fr,paul.taconet@ird.fr;chloe.dalleau@ird.fr,paul.taconet@ird.fr,pascal.cauquil@ird.fr,ird@ird.fr,chloe.dalleau@ird.fr,,,"// Français
Référentiel pour les espèces utilisé par l’Observatoire des Ecosystèmes Pélagiques Tropicaux exploités (Ob7) de l’Institut de Recherche pour le Développement (IRD) dans la base de données Observe.

// English
Code list for species used by the Observatory of Exploited Tropical Pelagic Ecosystems (Ob7) of the French National Research Institute for Sustainable Development (IRD) in the Observe database.",,2017-07-20,,,,,,,IRD,"step1 : The table observe_common.species was extracted from Observe database on the %date_download%. The column used as code is the column named faocode
step2 : The code list was integrated into the French Tuna atlas database",,species.species_ob7_observe,NA,http://data.d4science.org/WUcrNGJtS0JKR3lqYjQ5MXd6SmtUYnJSVnRHajBoUzBHbWJQNStIS0N6Yz0
species_ob7_t3p,codelist,Référentiel pour les espèces utilisé par l’Ob7 de l’IRD dans la base de données T3+,ird@ird.fr,ob7@ird.fr,paul.taconet@ird.fr;chloe.dalleau@ird.fr,paul.taconet@ird.fr,laurent.floch@ird.fr,ird@ird.fr,chloe.dalleau@ird.fr,,,"// Français
Référentiel pour les espèces utilisé par l’Observatoire des Ecosystèmes Pélagiques Tropicaux exploités (Ob7) de l’Institut de Recherche pour le Développement (IRD) dans la base de données T3+.

// English
Code list for species used by the Observatory of Exploited Tropical Pelagic Ecosystems (Ob7) of the French National Research Institute for Sustainable Development (IRD) in the T3+ database.",,2017-07-20,,,,,,,IRD,"step1 : The table public.species was extracted from T3+ database on the %date_download%. The column used as code is the column named code3l
step2 : The code list was integrated into the French Tuna atlas database",,species.species_ob7_t3p,NA,http://data.d4science.org/bFRCZmVpOTlwQ1NqYjQ5MXd6SmtUUWJJazNZc2VNc2NHbWJQNStIS0N6Yz0
species_ob7_balbaya,codelist,Référentiel pour les espèces utilisé par l’Ob7 de l’IRD dans la base de données Balbaya,ird@ird.fr,ob7@ird.fr,paul.taconet@ird.fr;chloe.dalleau@ird.fr,paul.taconet@ird.fr,laurent.floch@ird.fr,ird@ird.fr,chloe.dalleau@ird.fr,,,"// Français
Référentiel pour les espèces utilisé par l’Observatoire des Ecosystèmes Pélagiques Tropicaux exploités (Ob7) de l’Institut de Recherche pour le Développement (IRD) dans la base de données Balbaya.

// English
Code list for species used by the Observatory of Exploited Tropical Pelagic Ecosystems (Ob7) of the French National Research Institute for Sustainable Development (IRD) in the Balbaya database.",,2017-07-20,,,,,,,IRD,"step1 : The table public.espece was extracted from Balbaya database on the %date_download%. The column used as code is the column named c_esp_3l
step2 : The code list was integrated into the French Tuna atlas database",,species.species_ob7_balbaya,NA,http://data.d4science.org/N29KaEh6aW5DTktqYjQ5MXd6SmtUWWtuVnl6Qno0TGJHbWJQNStIS0N6Yz0
stock_ob7_balbaya,codelist,Référentiel pour les stocks utilisé par l’Ob7 de l’IRD (issu de la base Balbaya),ird@ird.fr,ob7@ird.fr,paul.taconet@ird.fr;chloe.dalleau@ird.fr,paul.taconet@ird.fr,laurent.floch@ird.fr,ird@ird.fr,chloe.dalleau@ird.fr,,,"// Français
Référentiel pour les stocks utilisé par l’Observatoire des Ecosystèmes Pélagiques Tropicaux exploités (Ob7) de l’Institut de Recherche pour le Développement (IRD) (issu de la base de données Balbaya).

// English
Code list for stocks used by the Observatory of Exploited Tropical Pelagic Ecosystems (Ob7) of the French National Research Institute for Sustainable Development (IRD) (extracted from the Balbaya database).",,2017-07-20,,,,,,,IRD,"step1 : The following query was executed on the Balbaya database on the %date_download% :
                  SELECT  distinct 
                  espece.c_esp_3l||' ('::varchar||zfao.c_zfao::varchar||')'::varchar AS code, -- not a species but a stock
                  espece.l_esp||' ('::varchar||zfao.l_zfao::varchar||')'::varchar AS label
              FROM 
              public.activite
              INNER JOIN public.capture ON (activite.c_bat = capture.c_bat AND
              activite.d_act = capture.d_act AND
              activite.n_act = capture.n_act)
LEFT JOIN public.zfao ON (activite.id_zfao=zfao.id_zfao)
INNER JOIN public.espece ON capture.c_esp = espece.c_esp
step2 : The code list was integrated into the French Tuna atlas database",,species.stock_ob7_balbaya,NA,http://data.d4science.org/YU8venJUS2JhWC8zcnlZaVBMTWJ2R2xYZnVuRGp0YjhHbWJQNStIS0N6Yz0
fadclass_tunaatlas,codelist,Référentiel pour les classes de DCP utilisé par l’Ob7 de l’IRD dans la base de données fads,ird@ird.fr,ob7@ird.fr,paul.taconet@ird.fr;chloe.dalleau@ird.fr,paul.taconet@ird.fr,laurent.floch@ird.fr,ird@ird.fr,chloe.dalleau@ird.fr,,,"// Français
Référentiel pour les classes de DCP utilisé par l’Observatoire des Ecosystèmes Pélagiques Tropicaux exploités (Ob7) de l’Institut de Recherche pour le Développement (IRD) dans la base de données fads

// English
Code list for classes of FADs used by the Observatory of Exploited Tropical Pelagic Ecosystems (Ob7) of the French National Research Institute for Sustainable Development (IRD) in the fads database.",,2017-07-20,,,,,,,IRD,"step1 : The table fads_classified.positions_class was extracted from the fad database on the %date_download%. The column used as code is the column named class_flip2
step2 : The code list was integrated into the French Tuna atlas database",,fadclass.fadclass_tunaatlas,NA,http://data.d4science.org/d0ptK0Q0dkI2T2FqYjQ5MXd6SmtUYXhZc0Q5VEh4a0ZHbWJQNStIS0N6Yz0
settype_tunaatlas,codelist,Référentiel pour les types de calées utilisé par l’Ob7 de l’IRD dans la base de données Atlas thonier français,ird@ird.fr,ob7@ird.fr,paul.taconet@ird.fr;chloe.dalleau@ird.fr,paul.taconet@ird.fr,chloe.dalleau@ird.fr,ird@ird.fr,chloe.dalleau@ird.fr,,,"// Français
Référentiel pour les types de calées utilisé par l’Observatoire des Ecosystèmes Pélagiques Tropicaux exploités (Ob7) de l’Institut de Recherche pour le Développement (IRD) dans la base de données Atlas thonier français.

// English
Code list for types of sets used by the Observatory of Exploited Tropical Pelagic Ecosystems (Ob7) of the French National Research Institute for Sustainable Development (IRD) in the French tuna atlas database.",,2017-07-20,,,,,,,IRD,"step1 : The table was created on the %date_download%
step2 : The code list was integrated into the French Tuna atlas database",,settype.settype_tunaatlas,NA,http://data.d4science.org/NG4wVjRrb2pqaXFqYjQ5MXd6SmtUUk9pLzVMQk5DZGRHbWJQNStIS0N6Yz0
program_ob7_observe,codelist,Référentiel pour les programmes utilisé par l’Ob7 de l’IRD dans la base de données Observe,ird@ird.fr,ob7@ird.fr,paul.taconet@ird.fr;chloe.dalleau@ird.fr,paul.taconet@ird.fr,pascal.cauquil@ird.fr,ird@ird.fr,chloe.dalleau@ird.fr,,,"// Français
Référentiel pour les programmes utilisé par l’Observatoire des Ecosystèmes Pélagiques Tropicaux exploités (Ob7) de l’Institut de Recherche pour le Développement (IRD) dans la base de données Observe.

// English
Code list for programs used by the Observatory of Exploited Tropical Pelagic Ecosystems (Ob7) of the French National Research Institute for Sustainable Development (IRD) in the Observe database.",,2018-03-06,,,,,,,IRD,"step1 : The table observe_common.program was extracted from Observe database on the %date_download%. The column used as code is the column named topiaid
step2 : The code list was integrated into the French Tuna atlas database",,program.program_ob7_observe,NA,http://data.d4science.org/czNrNTRlRTdUYzJqYjQ5MXd6SmtUUloxSmhKSkpnd2hHbWJQNStIS0N6Yz0
sizetype_ob7_observe,codelist,Référentiel pour les types de mesures de poissons utilisé par l’Ob7 de l’IRD dans la base de données Observe,ird@ird.fr,ob7@ird.fr,paul.taconet@ird.fr;chloe.dalleau@ird.fr,paul.taconet@ird.fr,pascal.cauquil@ird.fr,ird@ird.fr,chloe.dalleau@ird.fr,,,"// Français
Référentiel pour les types de mesures utilisé par l’Observatoire des Ecosystèmes Pélagiques Tropicaux exploités (Ob7) de l’Institut de Recherche pour le Développement (IRD) dans la base de données Observe.

// English
Code list for measure types used by the Observatory of Exploited Tropical Pelagic Ecosystems (Ob7) of the French National Research Institute for Sustainable Development (IRD) in the Observe database.",,2018-03-06,,,,,,,IRD,"step1 : The table observe_longline.sizemeasuretype was extracted from Observe database on the %date_download%. The column used as code is the column named code
step2 : A code named « L1 » was manually added to the code list. The label is : « Depends on the species. See observator manual »
step3 : The code list was integrated into the French Tuna atlas database",,sizetype.sizetype_ob7_observe,NA,http://data.d4science.org/NWFOQkdsUVpHUytqYjQ5MXd6SmtUU0RoTW1aQkZZNUVHbWJQNStIS0N6Yz0
vessel_ob7_balbaya,codelist,Référentiel pour les navires utilisé par l’Ob7 de l’IRD dans la base de données Balbaya,ird@ird.fr,ob7@ird.fr,paul.taconet@ird.fr;chloe.dalleau@ird.fr,paul.taconet@ird.fr,laurent.floch@ird.fr,ird@ird.fr,chloe.dalleau@ird.fr,,,"// Français
Référentiel pour les navires utilisé par l’Observatoire des Ecosystèmes Pélagiques Tropicaux exploités (Ob7) de l’Institut de Recherche pour le Développement (IRD) dans la base de données Balbaya.

// English
Code list for vessels used by the Observatory of Exploited Tropical Pelagic Ecosystems (Ob7) of the French National Research Institute for Sustainable Development (IRD) in the Balbaya database.",,2018-05-20,,,,,,,IRD,"step1 : The table public.bateau was used to retrieve the codes on the %date_download%. The column used as code is the column named c_bat
step2 : The code list was integrated into the French Tuna atlas database",,vessel.vessel_ob7_balbaya,NA,http://data.d4science.org/ZkFkUERqZ1BTcWl1czdsSkRIa0EvdzVUZHZrd25sY2tHbWJQNStIS0N6Yz0
