rfmo,fact,url_df_codelist
IOTC,catch,http://data.d4science.org/OENTeTBydUhCdktNTXVPdFZhbU5BQzRiTy9DZ3JneUNHbWJQNStIS0N6Yz0
IOTC,effort,http://data.d4science.org/NFBpWXB1cDZMOVNNTXVPdFZhbU5BSDdabGpiUWtGMTdHbWJQNStIS0N6Yz0
ICCAT,catch,http://data.d4science.org/b29ib0hsTnhIaStNTXVPdFZhbU5BTy9qeERyWUJsZVNHbWJQNStIS0N6Yz0
ICCAT,effort,http://data.d4science.org/c3NNb2pFWEVnT0tNTXVPdFZhbU5BSkVjQjhqMWdPYnVHbWJQNStIS0N6Yz0
IATTC,catch,http://data.d4science.org/RFZLMHY3VFBFSWFNTXVPdFZhbU5BTmhpY1FFOUxaaVJHbWJQNStIS0N6Yz0
IATTC,effort,http://data.d4science.org/dzVzcjZ5b3Z2VUNNTXVPdFZhbU5BTEpQSHJpRHl0ZjNHbWJQNStIS0N6Yz0
WCPFC,catch,http://data.d4science.org/ZEo4L3N2MEhaN3VNTXVPdFZhbU5BUHV6ZXh6bUJFZDlHbWJQNStIS0N6Yz0
WCPFC,effort,http://data.d4science.org/OXdpNFlVNEpnc1dNTXVPdFZhbU5BSlhBWGZic2NZN1pHbWJQNStIS0N6Yz0
CCSBT,catch,http://data.d4science.org/dUIyZC9yaWlIbGVNTXVPdFZhbU5BTkd5dEFvdm5Dd2ZHbWJQNStIS0N6Yz0
CCSBT,effort,http://data.d4science.org/WENsL1FiZ1U1Y09NTXVPdFZhbU5BS1cxVFJCd2ZmVVlHbWJQNStIS0N6Yz0
global,catch,http://data.d4science.org/Mld6b1hKSXVlUENNTXVPdFZhbU5BTWRwRXFGUmtKZUhHbWJQNStIS0N6Yz0
global,effort,http://data.d4science.org/TTdjQ3M0Qy9kTEdNTXVPdFZhbU5BRHZGZDFDdS9hejFHbWJQNStIS0N6Yz0
IOTC,nominal_catch,http://data.d4science.org/VWI5Y0pHM2ZHMkNNTXVPdFZhbU5BR2VkTjMzVDhKUk5HbWJQNStIS0N6Yz0
ICCAT,nominal_catch_sampling_areas,http://data.d4science.org/ZnVyNmQ4ZmdBSXFNTXVPdFZhbU5BQkx4SVpzTTFDWHhHbWJQNStIS0N6Yz0
ICCAT,nominal_catch_stock_areas,http://data.d4science.org/WXZGTk5pbGtPY0tNTXVPdFZhbU5BTEErNFNQTS9JeW1HbWJQNStIS0N6Yz0
IATTC,nominal_catch,http://data.d4science.org/TzVVZjFMZEd5T3FNTXVPdFZhbU5BT0diOUZNSDh5Y0FHbWJQNStIS0N6Yz0
WCPFC,nominal_catch,http://data.d4science.org/WGxtU3BjVUJieWlNTXVPdFZhbU5BRyt1cFVieTR6Q0NHbWJQNStIS0N6Yz0
CCSBT,nominal_catch,http://data.d4science.org/dVg4Wlh0aE45Yk9NTXVPdFZhbU5BUEFEQWhHOWxBY2hHbWJQNStIS0N6Yz0
global,nominal_catch,http://data.d4science.org/QStkNVY3MU9LYk9NTXVPdFZhbU5BRlZYYWlGS2YzZXVHbWJQNStIS0N6Yz0
