persistent_identifier,dataset_type,title,contact_owner,contact_originator,contact_metadata,contact_PointOfContact,contact_PrincipalInvestigator,contact_publisher,contact_processor,contact_data_structure_definition,subject,description,date_publication,date_download,format,langage,relation_source_download,relation_source_dataset,rights,source,lineage,supplemental_information,database_table_name,database_view_name,path_to_dataset,path_to_parameterization_file_to_generate_dataset,path_to_codelists_used_in_dataset
areas_task1_iotc,codelist,Areas used in the Nominal catches (task 1) dataset of the IOTC,ird@ird.fr,paul.taconet@ird.fr;fabio.fiorellato@iotc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,secretariat@iotc.org,fabio.fiorellato@iotc.org,ird@ird.fr,paul.taconet@ird.fr,,,The areas used in the nominal catches (task 1) dataset of the Indian Ocean Tuna Commission (IOTC). These areas are the FAO fishing areas F51 and F57.,,2016-03-25,,,,,,IOTC,"step1: The IOTC task 1 (nominal catch) public domain datasets was downloaded on the IOTC website.
step2: The codes and labels used for areas in these datasets were identified. A code list for areas was reconstitued.
step3: These areas correspond to the FAO fishing areas, hence, the geographical component of the code list was reconstitued from the FAO fishing area geospatial code list available and downlaoded here: http://www.fao.org/geonetwork/srv/en/main.home?uuid=ac02a460-da52-11dc-9d70-0017f293bd28
step4: The code list was integrated into the Tuna atlas database",,area.areas_task1_iotc,NA,http://data.d4science.org/eWFmVnMvaVFqS3FNQk5ZMDZka01KWWNMeGUvY1FSaXFHbWJQNStIS0N6Yz0,NA,NA
areas_tuna_rfmos_task1,codelist,Geospatial code list - areas used in catch-and-effort datasets (task 1) by the five tuna RFMOs,ird@ird.fr,emmanuel.blondel@fao.org;carlos.palma@iccat.int;laurent.floch@ird.f,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"Code list for areas used in catch-and-efforts (task 1) datasets by the five tuna Regional Fisheries Management Organisations (IOTC, ICCAT, IATTC, WCPFC, CCSBT).",,2017-11-13,,,,,,IRD,"step1: The code lists used as input of this code list were downloaded/composed and integrated into the Tuna atlas database.
step2: Trough a SQL query perfomed on the Tuna atlas database: the code list was generated by merging (UNION) all the source code lists.",,area.areas_tuna_rfmos_task1,NA,http://data.d4science.org/b2poNWw4ZlBaK3FZdFBua3lVbFNXRjFLU2kyNWRiR21HbWJQNStIS0N6Yz0,NA,NA
areas_tuna_rfmos_task2,codelist,Geospatial code list - areas used in catch-and-effort datasets (task 2) by the five tuna RFMOs,ird@ird.fr,fabio.fiorellato@iotc.org;emmanuel.blondel@fao.org laurent.floch@ird.fr;carlos.palma@iccat.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"Code list for areas used in catch-and-efforts (task 2) datasets by the five tuna Regional Fisheries Management Organisations (IOTC, ICCAT, IATTC, WCPFC, CCSBT).",,2017-11-13,,,,,,IRD,"step1: The code lists used as input of this code list were downloaded/composed and integrated into the Tuna atlas database.
step2: Trough a SQL query perfomed on the Tuna atlas database: the code list was generated by merging (UNION) all the source code lists.",,area.areas_tuna_rfmos_task2,NA,http://data.d4science.org/K3gvb3pvUmdzdVZoTmppdjlsK0l0aWdCVnk0ZVdva3VHbWJQNStIS0N6Yz0,NA,NA
areas_conversion_factors_numtoweigth_ird,codelist,Conversion factors areas (conversion from number to weight) used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr;alain.fonteneau@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Areas used for the conversion of catches from number of fishes harvested to weigth. These areas are known to have quite distinct average weights.,,,,,,,,IRD,step1: The code list was integrated into the Tuna atlas database,"For additional information, see: http://mdst-macroes.ird.fr/documentation/databases/Sardara/docSardara/doc_processes/Weight_computation_manu.odt",area.areas_conversion_factors_numtoweigth_ird,NA,http://data.d4science.org/NGdadjVyMEN2ODdkQXdDUnlSS0JkU3grQzYyQXluQ3FHbWJQNStIS0N6Yz0,NA,NA
irregular_areas_task2_iotc,codelist,Irregular areas used in the IOTC datasets,ird@ird.fr,paul.taconet@ird.fr;fabio.fiorellato@iotc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,secretariat@iotc.org,fabio.fiorellato@iotc.org,ird@ird.fr,paul.taconet@ird.fr,,,Irregular areas (i.e. not CWP grid) used in the task2 (catch and efforts) dataset of the Indian Ocean Tuna Commission.,,2016-03-25,,,,,,IRD,"step1: The code list was downloaded on the IOTC website
step2: The code list was integrated into the Tuna atlas database.",,area.irregular_areas_task2_iotc,NA,http://data.d4science.org/SlIzb2I1eElvL3JkQXdDUnlSS0JkWmZWQ0Zjam9IT2NHbWJQNStIS0N6Yz0,NA,NA
gshhs_world_coastlines,codelist,"The Global Self-consistent, Hierarchical, High-resolution Geography Database",ncei.info@noaa.gov,ncei.info@noaa.gov,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"The Global Self-consistent, Hierarchical, High-resolution Geography Database (GSHHG) is a high-resolution geography data set including coastlines, political borders, and rivers available for file download in either ESRI shapefile format or in a native binary format. In the database we use the low resolution (l); product 1 (coastlines). version 2.3.4 (January 1, 2015)",,2016-04-06,,,https://www.ngdc.noaa.gov/mgg/shorelines/gshhs.html,,,NOAA,"step1: The code list was downloaded on the NOAA website
step2: The code list was integrated into the Tuna atlas database.",,area.gshhs_world_coastlines,NA,http://data.d4science.org/a2p3YUc1NVlSTDNkQXdDUnlSS0JkZU15cVFxU3MvY0VHbWJQNStIS0N6Yz0,NA,NA
vliz_world_eez_v9_2016,codelist,VLIZ Exclusive Economic Zones Boundaries (EEZ),info@marineregions.org,info@marineregions.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"This dataset builds on previous versions of the world's EEZ. In version 9, the 200 nautical miles outer limit was completely recalculated using a higher resolution coastline as a normal baseline (ESRI Countries 2014) and straight baselines, where available. This dataset consists of two shapefiles: polylines that represent the maritime boundaries of the world's countries, the other one is a polygon layer representing the Exclusive Economic Zone of countries. This dataset also contains digital information about treaties, joint regime, and disputed boundaries.

Preferred citation:
Flanders Marine Institute (2016). Maritime Boundaries Geodatabase: Maritime Boundaries and Exclusive Economic Zones (200NM), version 9. Available online at http://www.marineregions.org/ http://dx.doi.org/10.14284/242. Consulted on 2018-01-09.",2016-10-21,2018-01-09,,,http://www.marineregions.org/downloads.php,,,VLIZ,"step1: The code list was downloaded on the Marine regions website
step2: The code list was integrated into the Tuna atlas database.",,area.vliz_world_eez_v9_2016,NA,http://data.d4science.org/ejhBdU43a3JNYVhkQXdDUnlSS0JkZC9MOWdxSm9uREtHbWJQNStIS0N6Yz0,NA,NA
fao_fishing_areas,codelist,FAO fishing areas,FAO-HQ@fao.org,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,emmanuel.blondel@fao.org,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"Major Fishing Areas for Statistical Purposes are arbitrary areas, the boundaries of which were determined in consultation with international fishery agencies on various considerations, including (i) the boundary of natural regions and the natural divisions of oceans and seas; (ii) the boundaries of adjacent statistical fisheries bodies already established in inter-governmental conventions and treaties; (iii) existing national practices; (iv) national boundaries; (v) the longitude and latitude grid system; (vi) the distribution of the aquatic fauna; and (vii) the distribution of the resources and the environmental conditions within an area.",,2016-04-06,,,http://www.fao.org/geonetwork/srv/en/main.home?uuid=ac02a460-da52-11dc-9d70-0017f293bd28,,,FAO,"step1: The code list was downloaded on the FAO Geonetwork 
step2: The code list was integrated into the Tuna atlas database.",,area.fao_fishing_areas,NA,http://data.d4science.org/QXIzOGJMNjVmRFhkQXdDUnlSS0JkVTlqU2RaS3RIN2dHbWJQNStIS0N6Yz0,NA,NA
catchtype_ccsbt,codelist,Code list for types of catch used by CCSBT,ird@ird.fr,paul.taconet@ird.fr;CMillar@ccsbt.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,CMillar@ccsbt.org,CMillar@ccsbt.org,ird@ird.fr,paul.taconet@ird.fr,,,"Code list for types of catches used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT). Presently, the CCSBT does not have any catch type code list, since the public datasets do not contain a catch type stratification. This table was created by the database manager in order to standardize the organization of the code lists and to facilitate the integration of the data within the Sardara database.",,2017-05-09,,,,,,CCSBT,"step1: The code list was constitued. 
step2: The code list was integrated into the Tuna atlas database",,catchtype.catchtype_ccsbt,NA,http://data.d4science.org/Mm43RHlhWFFoWlpoTmppdjlsK0l0bE5RVDFQVVc1cE1HbWJQNStIS0N6Yz0,NA,NA
catchtype_iattc,codelist,Code list for types of catch used by IATTC,ird@ird.fr,paul.taconet@ird.fr;nvogel@iattc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iattc.org,nvogel@iattc.org,ird@ird.fr,paul.taconet@ird.fr,,,"Code list for types of catches used by the Inter-American Tropical Tuna Commission (IATTC). Presently, the IATTC does not have any catch type code list, since the public datasets do not have a catch type detail. This table was created by the database manager in order to standardize the organization of the code lists and to facilitate the integration of the data within the Sardara database.",,2016-04-05,,,,,,IATTC,"step1: The code list was constitued. 
step2: The code list was integrated into the Tuna atlas database",,catchtype.catchtype_iattc,NA,http://data.d4science.org/VXIwbUozbjJlS3RoTmppdjlsK0l0cFZ3UWdEQ1dQcE5HbWJQNStIS0N6Yz0,NA,NA
