persistent_identifier,dataset_type,title,contact_owner,contact_originator,contact_metadata,contact_PointOfContact,contact_PrincipalInvestigator,contact_publisher,contact_processor,contact_data_structure_definition,subject,description,date_publication,date_download,format,langage,relation_source_download,relation_source_dataset,rights,source,lineage,supplemental_information,database_table_name,database_view_name,path_to_codelists_used_in_dataset,path_to_script_dataset_generation,parameter_path_to_raw_dataset,parameter_path_to_effort_dataset,parameter_spatial_stratification
atlantic_ocean_catch_1deg_1m_ps_tunaatlasiccat_level0__byschool,raw_dataset,Monthly catch of tuna and tuna-like species in the Atlantic Ocean (%year_start%-%year_end%) by purse seiners aggregated by statistical squares of 1° longitude and latitude (ICCAT level 0),ird@ird.fr,carlos.palma@iccat.in,paul.taconet@ird.fr;emmanuel.blondel@fao.org;julien.barde@ird.fr,info@iccat.int,carlos.palma@iccat.in,ird@ird.fr,paul.taconet@ird.fr,carlos.palma@iccat.in,,"This dataset lists the monthly-spatially aggregated catch of tropical tuna species from the International Commission for the Conservation of Atlantic Tunas (ICCAT) by purse seiners from 1991 to 2016. Species-specific catches are stratified by year, month, fishing gear, vessel flag reporting country, fishing mode (i.e. type of school used) and area (statistical squares of 1° longitude and latitude). It corresponds to the catch part of the ICCAT catch-and-effort (task2) dataset.

This dataset was downloaded on the ICCAT website. It was then restructured to be in line with the Tuna atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.",2017-03-13,2017-03-13,,,https://www.iccat.int/en/accesingdb.htm,https://www.iccat.int/Data/t2ce_PS91-15_bySchool.zip,,ICCAT,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iccat.atl_catch_1deg_1m_ps_tunaatlasiccat_level0__byschool,http://data.d4science.org/b1VSdHp1YUJrd0dZdFBua3lVbFNXRUdpRkpWSDlBd25HbWJQNStIS0N6Yz0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/atlantic_ocean_catch_1deg_1m_ps_tunaatlasiccat_level0__byschool.R,http://data.d4science.org/Z2l1bk5vcGhQeWF6R2hYM1ZXaElmZzhxUTQ3MG1kelNHbWJQNStIS0N6Yz0,,
atlantic_ocean_effort_1deg_1m_ps_tunaatlasiccat_level0__byschool,raw_dataset,Monthly fishing effort targeting tuna and tuna-like species in the Atlantic Ocean (%year_start%-%year_end%) by purse seiners aggregated by statistical squares of 1° longitude and latitude (ICCAT level 0),ird@ird.fr,carlos.palma@iccat.in,paul.taconet@ird.fr;emmanuel.blondel@fao.org;julien.barde@ird.fr,info@iccat.int,carlos.palma@iccat.in,ird@ird.fr,paul.taconet@ird.fr,carlos.palma@iccat.in,,"This dataset lists the monthly-spatially aggregated fishing effort targeting tropical tuna species from the International Commission for the Conservation of Atlantic Tunas (ICCAT) by purse seiners from 1991 to 2016. Efforts are stratified by year, month, fishing gear, vessel flag reporting country, fishing mode (i.e. type of school used), unit of effort and area (statistical squares of 1° longitude and latitude). It corresponds to the effort part of the ICCAT catch-and-effort (task2) dataset.

Efforts are expressed in several units : number of days at fishing ground, number of fishing hours, HOURS.SEA, Hours.FAD, Hours.FSC, Hours.STD (labels are missing for these four last units). Efforts can be expressed with up to 5 units per stratum.

This dataset was downloaded on the ICCAT website. It was then restructured to be in line with the Tuna atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.",2017-03-13,2017-09-13,,,https://www.iccat.int/en/accesingdb.htm,https://www.iccat.int/Data/t2ce_PS91-15_bySchool.zip,,ICCAT,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_iccat.atl_effort_1deg_1m_ps_tunaatlasiccat_level0__byschool,http://data.d4science.org/dGJFZzVlWGJHVUdZdFBua3lVbFNXUEV5bjBmSGhNaDZHbWJQNStIS0N6Yz0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/atlantic_ocean_effort_1deg_1m_ps_tunaatlasiccat_level0__byschool.R,http://data.d4science.org/Z2l1bk5vcGhQeWF6R2hYM1ZXaElmZzhxUTQ3MG1kelNHbWJQNStIS0N6Yz0,,
atlantic_ocean_catch_tunaatlasiccat_level0__noschool,raw_dataset,"Monthly catch of tuna, tuna-like and shark species in the Atlantic Ocean (%year_start%-%year_end%) aggregated by statistical squares of 1° or 5° longitude and latitude (ICCAT level 0)",ird@ird.fr,carlos.palma@iccat.in,paul.taconet@ird.fr;emmanuel.blondel@fao.org;julien.barde@ird.fr,info@iccat.int,carlos.palma@iccat.in,ird@ird.fr,paul.taconet@ird.fr,carlos.palma@iccat.in,,"This dataset lists the monthly-spatially aggregated catch of tuna, tuna-like and shark species from the International Commission for the Conservation of Atlantic Tunas (ICCAT) from 1950 to 2015. Species-specific catches are stratified by year, month, fishing gear, vessel flag reporting country and area (mainly 1° or statistical squares of 5° longitude and latitude). It corresponds to the catch part of the ICCAT catch-and-effort (task2) dataset.

This dataset was downloaded on the ICCAT website. It was then restructured to be in line with the Tuna atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.

The description below is extracted from the ICCAT web page where the dataset has been downloaded.

Characteristics, specific issues and problems that need to be taken into account :


These data are basically data obtained from sampling a portion of the individual fishing operations of a given fishery in a specified period of time. In its general form, task 2 catch-and-effort (T2CE) is defined as: “The complete species (tuna, tuna like species and sharks) catch composition (in weight <kg> or/and in number of fish) obtained by a given amount of effort (absolute value) in a given stratification or detail level (stratum)”. The stratification level defines the “specific form” of T2CE. The ICCAT's Standing Committee on Research and Statistics (SCRS) requires that T2CE data be submitted every year by fleet and gear, with at least the following time/area stratification level:

Time: month
Area: 1x1 degree squares (all surface gears); 5x5 degree squares (longline gears).

Finer temporal or spatial strata can be used. In particular, a T2CE record can be as detailed as a daily fishing operation of a vessel (e.g.: longline set of individual vessels - any reference to a vessel is always removed in order to preserve confidentiality. In some cases, T2CE records are as aggregated as a month's catch composition for an entire country and gear in a large geographical zone (e.g.: 20x20 square); such records, however, do not conform to SCRS requirements.

The species catch coverage (proportion of the overall Task I catch represented by T2CE) can range from a minimum of 5% to almost 100% depending on many factors. The stratification level currently available in the entire T2CE database (1950 to 2007) is very heterogeneous.

Time stratification is usually required by month but a considerable portion of available T2CE is by quarter or year.

Area stratification can go from 1x1 degree squares to large geographical regions (see square types in: http://www.iccat.int/Forms/CODES_SquareTypes.xls).

In many datasets, there may be misreporting ofthe entire species composition (where by-catch species may be underrepresented) obtained by a given effort amount of fishing effort.

Various datasets have already extrapolated (raised) species catches to the overall Task I catch, such that the original sampling coverage cannot be determined.

In some datasets, the effort is “double counted”. This occurs when, for the same fishery, more than one dataset with partial species catch compositions (often stratified differently) is reported to ICCAT through separate data submissions.",2016-11-01,2017-03-07,,,https://www.iccat.int/en/accesingdb.htm,https://www.iccat.int/Data/t2ce_20161114.rar,,ICCAT,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iccat.atl_catch_tunaatlasiccat_level0__noschool,http://data.d4science.org/TGl6Szh0MDRSaUtZdFBua3lVbFNXTlV6NHEyVFIzd2ZHbWJQNStIS0N6Yz0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/atlantic_ocean_catch_tunaatlasiccat_level0__noschool.R,http://data.d4science.org/eVNMTWRKb1VMY1d6R2hYM1ZXaElmb1l5L1pFYm5tUU5HbWJQNStIS0N6Yz0,,
atlantic_ocean_effort_tunaatlasiccat_level0__noschool,raw_dataset,"Monthly fishing effort targeting tuna, tuna-like and shark species in the Atlantic Ocean (%year_start%-%year_end%) aggregated by statistical squares of 1° or 5° longitude and latitude (ICCAT level 0)",ird@ird.fr,carlos.palma@iccat.in,paul.taconet@ird.fr;emmanuel.blondel@fao.org;julien.barde@ird.fr,info@iccat.int,carlos.palma@iccat.in,ird@ird.fr,paul.taconet@ird.fr,carlos.palma@iccat.in,,"This dataset lists the monthly-spatially aggregated fishing effort targeting tuna, tuna-like and shark species from the International Commission for the Conservation of Atlantic Tunas (ICCAT) from 1950 to 2015. Efforts are stratified by year, month, fishing gear, vessel flag reporting country, unit of effort and area (mainly 1° or statistical squares of 5° longitude and latitude). It corresponds to the effort part of the ICCAT catch-and-effort (task2) dataset.

Efforts are expressed in several units : number of line days( ~ nr. fshing days), number of poles, number of boats engaged in fishing, number of days at fishing ground, number of days at sea, number of days fishing, number of fishing hours, number of hooks used (longline), number of lines used (troll), number of pole-days (baitboat fishing), number of sets made, number of successful fishing days, number of successful sets made, number of trap-days, number of traps, number of trips made. For each stratum, efforts can be expressed with up to two different units.

This dataset was downloaded on the ICCAT website. It was then restructured to be in line with the Tuna atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.

The description below is extracted from the ICCAT web page where the dataset has been downloaded.

Characteristics, specific issues and problems that need to be taken into account :


These data are basically data obtained from sampling a portion of the individual fishing operations of a given fishery in a specified period of time. In its general form, task 2 catch-and-effort (T2CE) is defined as: “The complete species (tuna, tuna like species and sharks) catch composition (in weight <kg> or/and in number of fish) obtained by a given amount of effort (absolute value) in a given stratification or detail level (stratum)”. The stratification level defines the “specific form” of T2CE. The ICCAT's Standing Committee on Research and Statistics (SCRS) requires that T2CE data be submitted every year by fleet and gear, with at least the following time/area stratification level:

Time: month
Area: 1x1 degree squares (all surface gears); 5x5 degree squares (longline gears).

Finer temporal or spatial strata can be used. In particular, a T2CE record can be as detailed as a daily fishing operation of a vessel (e.g.: longline set of individual vessels - any reference to a vessel is always removed in order to preserve confidentiality. In some cases, T2CE records are as aggregated as a month's catch composition for an entire country and gear in a large geographical zone (e.g.: 20x20 square); such records, however, do not conform to SCRS requirements.

The species catch coverage (proportion of the overall Task I catch represented by T2CE) can range from a minimum of 5% to almost 100% depending on many factors. The stratification level currently available in the entire T2CE database (1950 to 2007) is very heterogeneous.

Time stratification is usually required by month but a considerable portion of available T2CE is by quarter or year.

Area stratification can go from 1x1 degree squares to large geographical regions (see square types in: http://www.iccat.int/Forms/CODES_SquareTypes.xls).

In many datasets the amount of fishing effort is missing (not reported); such records may beunusable for detailed CPUE analysis. 

In many datasets, there may be misreporting ofthe entire species composition (where by-catch species may be underrepresented) obtained by a given effort amount of fishing effort.

In many time series there is a large heterogeneity of fishing effort units within the same fishing gear (and/or Flag).

Various datasets have already extrapolated (raised) species catches to the overall Task I catch, such that the original sampling coverage cannot be determined.

In some datasets, the effort is “double counted”. This occurs when, for the same fishery, more than one dataset with partial species catch compositions (often stratified differently) is reported to ICCAT through separate data submissions.",2016-11-01,2017-03-07,,,https://www.iccat.int/en/accesingdb.htm,https://www.iccat.int/Data/t2ce_20161114.rar,,ICCAT,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_iccat.atl_effort_tunaatlasiccat_level0__noschool,http://data.d4science.org/QjBrNm1waHR0YVNZdFBua3lVbFNXRURwUDZtYkg1V3lHbWJQNStIS0N6Yz0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/atlantic_ocean_effort_tunaatlasiccat_level0__noschool.R,http://data.d4science.org/eVNMTWRKb1VMY1d6R2hYM1ZXaElmb1l5L1pFYm5tUU5HbWJQNStIS0N6Yz0,,
atlantic_ocean_nominal_catch_tunaatlasiccat_level0__bysamplingarea,raw_dataset,"Annual catch of tuna, tuna-like and shark species in the Atlantic Ocean (%year_start%-%year_end%) aggregated by sampling area (ICCAT level 0)",ird@ird.fr,carlos.palma@iccat.in,paul.taconet@ird.fr;emmanuel.blondel@fao.org;julien.barde@ird.fr,info@iccat.int,carlos.palma@iccat.in,ird@ird.fr,paul.taconet@ird.fr,carlos.palma@iccat.in,,"This dataset lists the annually-spatially aggregated catch of tuna, tuna-like and major shark species from the International Commission for the Conservation of Atlantic Tunas (ICCAT) from 1950 to 2015. Species-specific catches are stratified by year, fishing gear, vessel flag reporting country, sampling area. It corresponds to the ICCAT nominal catch (task1) dataset.



This dataset was downloaded on the ICCAT website. It was then restructured to be in line with the Tuna atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.

The description below is extracted from the ICCAT web page where the dataset has been downloaded.


Characteristics, specific issues and problems that need to be taken into account :

In general, responsibility for reporting catch and landings data rests on flag states.",2016-11-14,2017-03-06,,,https://www.iccat.int/en/accesingdb.htm,https://www.iccat.int/Data/t1nc_20161114.rar,,ICCAT,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iccat.atl_nominal_catch_tunaatlasiccat_level0__bysamplingarea,http://data.d4science.org/Zk4xaEFCODRrQ2FZdFBua3lVbFNXRVZOdFBoS0lYZVBHbWJQNStIS0N6Yz0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/atlantic_ocean_nominal_catch_tunaatlasiccat_level0.R,http://data.d4science.org/VnlISy9PNW9JMnV6R2hYM1ZXaElmc1hzdDUwem5iQU1HbWJQNStIS0N6Yz0,,SampAreaCode
atlantic_ocean_nominal_catch_tunaatlasiccat_level0__bystockarea,raw_dataset,Annual catch of tuna and tuna-like species in the Atlantic ocean aggregated by stock area (%year_start%-%year_end%),ird@ird.fr,carlos.palma@iccat.in,paul.taconet@ird.fr;emmanuel.blondel@fao.org;julien.barde@ird.fr,info@iccat.int,carlos.palma@iccat.in,ird@ird.fr,paul.taconet@ird.fr,carlos.palma@iccat.in,,"This dataset lists the annually-spatially aggregated catch of tuna, tuna-like and major shark species from the International Commission for the Conservation of Atlantic Tunas (ICCAT) from 1950 to 2015. Species-specific catches are stratified by year, fishing gear, vessel flag reporting country, stock area. It corresponds to the ICCAT nominal catch (task1) dataset.



This dataset was downloaded on the ICCAT website. It was then restructured to be in line with the Tuna atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.

The description below is extracted from the ICCAT web page where the dataset has been downloaded.


Characteristics, specific issues and problems that need to be taken into account :

In general, responsibility for reporting catch and landings data rests on flag states.",2016-11-14,2017-03-05,,,https://www.iccat.int/en/accesingdb.htm,https://www.iccat.int/Data/t1nc_20161114.rar,,ICCAT,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iccat.atl_nominal_catch_tunaatlasiccat_level0__bystockarea,http://data.d4science.org/UnIzaXdVZzk0T2VZdFBua3lVbFNXRThqMklFMVNUNVFHbWJQNStIS0N6Yz0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/atlantic_ocean_nominal_catch_tunaatlasiccat_level0.R,http://data.d4science.org/VnlISy9PNW9JMnV6R2hYM1ZXaElmc1hzdDUwem5iQU1HbWJQNStIS0N6Yz0,,Stock
east_pacific_ocean_catch_1deg_1m_bb_tunaatlasiattc_level0__tuna_byflag,raw_dataset,Monthly catch of tunas in the East Pacific Ocean (%year_start%-%year_end%) by pole-and-liners aggregated by statistical squares of 1° longitude and latitude and by flag (IATTC level 0),ird@ird.fr,nvogel@iattc,paul.taconet@ird.fr;emmanuel.blondel@fao.org;julien.barde@ird.fr,info@iattc.org,nvogel@iattc,ird@ird.fr,paul.taconet@ird.fr,nvogel@iattc,,"This dataset lists the monthly-spatially aggregated catch of tuna species from the Commission for the Inter-American Tropical Tuna Commission (IATTC) by pole-and-line vessels (baitboats) from 1978 to 2014. Species-specific catches are stratified by year, month, fishing gear, vessel flag reporting country and area (statistical squares of 1° longitude and latitude). It corresponds to the catch part of the IATTC catch-and-effort (task2) dataset.

This dataset was downloaded on the IATTC website. It was then restructured to be in line with the Tuna atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.

The description below is extracted from the IATTC web page where the dataset has been downloaded.


Characteristics, specific issues and problems that need to be taken into account :

Stratification by fishing mode (i.e. type of school used) is not available in this dataset, since IATTC confidentiality policy restricts the release of public domain data by both flag and set type. 

The file contain data provided by Members and Cooperating Non-Members. The data on catch are as abstracted from vessel logbooks. The data on catch weight and species composition are not adjusted by data from other sources, such as unloadings or sets for which catch data is not available

Estimated EPO tuna catch totals are presented in the IATTC Fishery Status Reports (http://www.iattc.org/FisheryStatusReportsENG.htm). In accordance with the IATTC policy on confidentiality, data from flags with less than 3 vessels or less than 3 companies are grouped in the “Other” category in the “Flag” column.",2016-12-01,2017-03-07,,,http://www.iattc.org/Catchbygear/IATTC-Catch-by-species1.htm,http://www.iattc.org/Catchbygear/PublicLPTuna.zip,,IATTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iattc.epo_catch_1deg_1m_bb_tunaatlasiattc_level0__tuna_byflag,http://data.d4science.org/MForaHVJTUtEbCtZdFBua3lVbFNXSmVmMjdMSk9yVFhHbWJQNStIS0N6Yz0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_catch_1deg_1m_bb_tunaatlasiattc_level0__byflag.R,http://data.d4science.org/WU1QUEhRa0xXUFd6R2hYM1ZXaElmdC9qN2x4aURQOVRHbWJQNStIS0N6Yz0,,
east_pacific_ocean_effort_1deg_1m_bb_tunaatlasiattc_level0__tuna_byflag,raw_dataset,Monthly fishing effort targeting tunas in the East Pacific Ocean (%year_start%-%year_end%) by pole-and-liners aggregated by statistical squares of 1° longitude and latitude and by flag (IATTC level 0),ird@ird.fr,nvogel@iattc,paul.taconet@ird.fr;emmanuel.blondel@fao.org;julien.barde@ird.fr,info@iattc.org,nvogel@iattc,ird@ird.fr,paul.taconet@ird.fr,nvogel@iattc,,"This dataset lists the monthly-spatially aggregated fishing effort targeting tuna species from the Commission for the Inter-American Tropical Tuna Commission (IATTC) by pole-and-line vessels (baitboats) from 1978 to 2014. Efforts are stratified by year, month, fishing gear, vessel flag reporting country, unit of effort and area (statistical squares of 1° longitude and latitude). It corresponds to the effort part of the IATTC catch-and-effort (task2) dataset.

Efforts are expressed in number of sets.

This dataset was downloaded on the IATTC website. It was then restructured to be in line with the Tuna atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.

The description below is extracted from the IATTC web page where the dataset has been downloaded.


Characteristics, specific issues and problems that need to be taken into account :

Stratification by fishing mode (i.e. type of school used) is not available in this dataset, since IATTC confidentiality policy restricts the release of public domain data by both flag and set type. 

The file contain data provided by Members and Cooperating Non-Members.

Estimated EPO tuna catch totals are presented in the IATTC Fishery Status Reports (http://www.iattc.org/FisheryStatusReportsENG.htm). In accordance with the IATTC policy on confidentiality, data from flags with less than 3 vessels or less than 3 companies are grouped in the “Other” category in the “Flag” column.",2016-12-01,2017-03-07,,,http://www.iattc.org/Catchbygear/IATTC-Catch-by-species1.htm,http://www.iattc.org/Catchbygear/PublicLPTuna.zip,,IATTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_iattc.epo_effort_1deg_1m_bb_tunaatlasiattc_level0__tuna_byflag,http://data.d4science.org/cHlnTlZhTlNmeXVZdFBua3lVbFNXQkdNN0FHZThINjZHbWJQNStIS0N6Yz0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_effort_1deg_1m_bb_tunaatlasiattc_level0__byflag.R,http://data.d4science.org/WU1QUEhRa0xXUFd6R2hYM1ZXaElmdC9qN2x4aURQOVRHbWJQNStIS0N6Yz0,,
east_pacific_ocean_catch_1deg_1m_ps_tunaatlasiattc_level0__billfish_byflag,raw_dataset,Monthly catch of billfishes in the East Pacific Ocean (%year_start%-%year_end%) by purse seiners aggregated by statistical squares of 1° longitude and latitude and by flag (IATTC level 0),ird@ird.fr,nvogel@iattc,paul.taconet@ird.fr;emmanuel.blondel@fao.org;julien.barde@ird.fr,info@iattc.org,nvogel@iattc,ird@ird.fr,paul.taconet@ird.fr,nvogel@iattc,,"This dataset lists the monthly-spatially aggregated catch of billfish species from the Commission for the Inter-American Tropical Tuna Commission (IATTC) by purse seiners from 1993 to 2015. Species-specific catches are stratified by year, month, fishing gear, vessel flag reporting country and area (statistical squares of 1° longitude and latitude). It corresponds to the catch part of the IATTC catch-and-effort (task2) dataset.

This dataset was downloaded on the IATTC website. It was then restructured to be in line with the Tuna atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.

The description below is extracted from the IATTC web page where the dataset has been downloaded.


Characteristics, specific issues and problems that need to be taken into account :

Stratification by fishing mode (i.e. type of school used) is not available in this dataset, since IATTC confidentiality policy restricts the release of public domain data by both flag and set type. 

The file contain data provided by Members and Cooperating Non-Members. Observers record billfish bycatch in number of individuals. 

Estimated East Pacific Ocean billfish bycatch totals are presented in the Inter-American Tropical Tuna Commission (IATTC) Fishery Status Reports
(http://www.iattc.org/FisheryStatusReportsENG.htm). In accordance with the IATTC policy on confidentiality, data from flags with less than 3 vessels or less than 3 companies are grouped in the “Other” category in the “Flag” column.",2016-04-01,2017-03-07,,,http://www.iattc.org/Catchbygear/IATTC-Catch-by-species1.htm,http://www.iattc.org/Catchbygear/PublicPSBillfish.zip,,IATTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iattc.epo_catch_1deg_1m_ps_tunaatlasiattc_level0__billfish_byflag,http://data.d4science.org/MForaHVJTUtEbCtZdFBua3lVbFNXSmVmMjdMSk9yVFhHbWJQNStIS0N6Yz0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_catch_1deg_1m_ps_tunaatlasiattc_level0__byflag.R,http://data.d4science.org/dEFzKzkxYitIbCt6R2hYM1ZXaElma3ZNaU14b1ViRGFHbWJQNStIS0N6Yz0,,
east_pacific_ocean_effort_1deg_1m_ps_tunaatlasiattc_level0__billfish_byflag,raw_dataset,Monthly fishing effort targeting billfishes in the East Pacific Ocean (%year_start%-%year_end%) by purse seiners aggregated by statistical squares of 1° longitude and latitude and by flag (IATTC level 0),ird@ird.fr,nvogel@iattc,paul.taconet@ird.fr;emmanuel.blondel@fao.org;julien.barde@ird.fr,info@iattc.org,nvogel@iattc,ird@ird.fr,paul.taconet@ird.fr,nvogel@iattc,,"This dataset lists the monthly-spatially aggregated fishing effort targeting billfish species from the Commission for the Inter-American Tropical Tuna Commission (IATTC) by purse seiners from 1993 to 2015. Efforts are stratified by year, month, fishing gear, vessel flag reporting country, unit of effort and area (statistical squares of 1° longitude and latitude). It corresponds to the effort part of the IATTC catch-and-effort (task2) dataset.

Efforts are expressed in number of sets.

This dataset was downloaded on the IATTC website. It was then restructured to be in line with the Tuna atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.

The description below is extracted from the IATTC web page where the dataset has been downloaded.


Characteristics, specific issues and problems that need to be taken into account :

Stratification by fishing mode (i.e. type of school used) is not available in this dataset, since IATTC confidentiality policy restricts the release of public domain data by both flag and set type. 

The file contain data provided by Members and Cooperating Non-Members
Estimated East Pacific Ocean billfish bycatch totals are presented in the Inter-American Tropical Tuna Commission (IATTC) Fishery Status Reports
(http://www.iattc.org/FisheryStatusReportsENG.htm). In accordance with the IATTC policy on confidentiality, data from flags with less than 3 vessels or less than 3 companies are grouped in the “Other” category in the “Flag” column.",2016-04-01,2017-03-07,,,http://www.iattc.org/Catchbygear/IATTC-Catch-by-species1.htm,http://www.iattc.org/Catchbygear/PublicPSBillfish.zip,,IATTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_iattc.epo_effort_1deg_1m_ps_tunaatlasiattc_level0__billfish_byflag,http://data.d4science.org/cHlnTlZhTlNmeXVZdFBua3lVbFNXQkdNN0FHZThINjZHbWJQNStIS0N6Yz0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_effort_1deg_1m_ps_tunaatlasiattc_level0__byflag.R,http://data.d4science.org/dEFzKzkxYitIbCt6R2hYM1ZXaElma3ZNaU14b1ViRGFHbWJQNStIS0N6Yz0,,
