persistent_identifier,title,contact_owner,contact_originator,contact_metadata,contact_PointOfContact,contact_PrincipalInvestigator,contact_publisher,contact_processor,contact_data_structure_definition,subject,description,date_publication,date_download,format,langage,relation_source_download,relation_source_dataset,rights,source,lineage,supplemental_information,database_table_name,database_view_name,year_tuna_atlas,source_dataset_title,source_dataset_format,source_dataset_path_dataset,source_dataset_path_harmonization_script,source_dataset_path_csv_codelists
atlantic_ocean_catch_1deg_1m_ps_tunaatlasICCAT_level0__bySchool,Monthly catch of tuna and tuna-like species in the Atlantic Ocean (%date_start%-%date_end%) by purse seiners aggregated by 1° squares (ICCAT level 0),,,,,,,,,,,,,,,,,,ICCAT,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iccat.atl_catch_1deg_1m_ps_tunaatlasICCAT_level0__bySchool,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/atlantic_ocean_catch_1deg_1m_ps_tunaatlasiccat_level0__byschool.R,http://data.d4science.org/b1VSdHp1YUJrd0dZdFBua3lVbFNXRUdpRkpWSDlBd25HbWJQNStIS0N6Yz0
atlantic_ocean_effort_1deg_1m_ps_tunaatlasICCAT_level0__bySchool,Monthly fishing effort targeting tuna and tuna-like species in the Atlantic Ocean (%date_start%-%date_end%) by purse seiners aggregated by 1° squares (ICCAT level 0),,,,,,,,,,,,,,,,,,ICCAT,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_iccat.atl_effort_1deg_1m_ps_tunaatlasICCAT_level0__bySchool,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/atlantic_ocean_effort_1deg_1m_ps_tunaatlasiccat_level0__byschool.R,http://data.d4science.org/dGJFZzVlWGJHVUdZdFBua3lVbFNXUEV5bjBmSGhNaDZHbWJQNStIS0N6Yz0
atlantic_ocean_catch_tunaatlasICCAT_level0__noSchool,"Monthly catch of tuna, tuna-like and shark species in the Atlantic Ocean (%date_start%-%date_end%) aggregated by 1° or 5° squares (ICCAT level 0)",,,,,,,,,,,,,,,,,,ICCAT,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iccat.atl_catch_tunaatlasICCAT_level0__noSchool,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/atlantic_ocean_catch_tunaatlasiccat_level0__noschool.R,http://data.d4science.org/TGl6Szh0MDRSaUtZdFBua3lVbFNXTlV6NHEyVFIzd2ZHbWJQNStIS0N6Yz0
atlantic_ocean_effort_tunaatlasICCAT_level0__noSchool,"Monthly fishing effort targeting tuna, tuna-like and shark species in the Atlantic Ocean (%date_start%-%date_end%) aggregated by 1° or 5° squares (ICCAT level 0)",,,,,,,,,,,,,,,,,,ICCAT,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_iccat.atl_effort_tunaatlasICCAT_level0__noSchool,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/atlantic_ocean_effort_tunaatlasiccat_level0__noschool.R,http://data.d4science.org/QjBrNm1waHR0YVNZdFBua3lVbFNXRURwUDZtYkg1V3lHbWJQNStIS0N6Yz0
atlantic_ocean_nominal_catch_tunaatlasICCAT_level0__bySamplingArea,"Annual catch of tuna, tuna-like and shark species in the Atlantic Ocean (%date_start%-%date_end%) aggregated by sampling area (ICCAT level 0)",,,,,,,,,,,,,,,,,,ICCAT,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iccat.atl_nominal_catch_tunaatlasICCAT_level0__bySamplingArea,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/atlantic_ocean_nominal_catch_tunaatlasiccat_level0.R,http://data.d4science.org/Zk4xaEFCODRrQ2FZdFBua3lVbFNXRVZOdFBoS0lYZVBHbWJQNStIS0N6Yz0
atlantic_ocean_nominal_catch_tunaatlasICCAT_level0__byStockArea,Annual catch of tuna and tuna-like species in the Atlantic ocean aggregated by stock area (%date_start%-%date_end%),,,,,,,,,,,,,,,,,,ICCAT,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iccat.atl_nominal_catch_tunaatlasICCAT_level0__byStockArea,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/atlantic_ocean_nominal_catch_tunaatlasiccat_level0.R,http://data.d4science.org/UnIzaXdVZzk0T2VZdFBua3lVbFNXRThqMklFMVNUNVFHbWJQNStIS0N6Yz0
east_pacific_ocean_catch_1deg_1m_bb_tunaatlasIATTC_level0__tuna_byFlag,Monthly catch of tunas in the East Pacific Ocean (%date_start%-%date_end%) by pole-and-liners aggregated by 1° squares and by flag (IATTC level 0),,,,,,,,,,,,,,,,,,IATTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iattc.epo_catch_1deg_1m_bb_tunaatlasIATTC_level0__tuna_byFlag,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_catch_1deg_1m_bb_tunaatlasiattc_level0__byflag.R,http://data.d4science.org/MForaHVJTUtEbCtZdFBua3lVbFNXSmVmMjdMSk9yVFhHbWJQNStIS0N6Yz0
east_pacific_ocean_effort_1deg_1m_bb_tunaatlasIATTC_level0__tuna_byFlag,Monthly fishing effort targeting tunas in the East Pacific Ocean (%date_start%-%date_end%) by pole-and-liners aggregated by 1° squares and by flag (IATTC level 0),,,,,,,,,,,,,,,,,,IATTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_iattc.epo_effort_1deg_1m_bb_tunaatlasIATTC_level0__tuna_byFlag,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_effort_1deg_1m_bb_tunaatlasiattc_level0__byflag.R,http://data.d4science.org/cHlnTlZhTlNmeXVZdFBua3lVbFNXQkdNN0FHZThINjZHbWJQNStIS0N6Yz0
east_pacific_ocean_catch_1deg_1m_ps_tunaatlasIATTC_level0__billfish_byFlag,Monthly catch of billfishes in the East Pacific Ocean (%date_start%-%date_end%) by purse seiners aggregated by 1° squares and by flag (IATTC level 0),,,,,,,,,,,,,,,,,,IATTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iattc.epo_catch_1deg_1m_ps_tunaatlasIATTC_level0__billfish_byFlag,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_catch_1deg_1m_ps_tunaatlasiattc_level0__byflag.R,http://data.d4science.org/MForaHVJTUtEbCtZdFBua3lVbFNXSmVmMjdMSk9yVFhHbWJQNStIS0N6Yz0
east_pacific_ocean_effort_1deg_1m_ps_tunaatlasIATTC_level0__billfish_byFlag,Monthly fishing effort targeting billfishes in the East Pacific Ocean (%date_start%-%date_end%) by purse seiners aggregated by 1° squares and by flag (IATTC level 0),,,,,,,,,,,,,,,,,,IATTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_iattc.epo_effort_1deg_1m_ps_tunaatlasIATTC_level0__billfish_byFlag,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_effort_1deg_1m_ps_tunaatlasiattc_level0__byflag.R,http://data.d4science.org/cHlnTlZhTlNmeXVZdFBua3lVbFNXQkdNN0FHZThINjZHbWJQNStIS0N6Yz0
