persistent_identifier,path_to_script_dataset_generation,include_IOTC,include_ICCAT,include_IATTC,include_WCPFC,include_CCSBT,datasets_year_release,iccat_include_type_of_school,iattc_raise_flags_to_schooltype,iattc_dimension_to_use_if_no_raising_flags_to_schooltype,mapping_map_code_lists,mapping_csv_mapping_datasets_url,mapping_keep_src_code,gear_filter,unit_conversion_convert,unit_conversion_csv_conversion_factor_url,unit_conversion_codelist_geoidentifiers_conversion_factors,raising_georef_to_nominal,aggregate_on_5deg_data_with_resolution_inferior_to_5deg,disaggregate_on_5deg_data_with_resolution_superior_to_5deg,disaggregate_on_1deg_data_with_resolution_superior_to_1deg,spatial_curation_data_mislocated,overlapping_zone_iattc_wcpfc_data_to_keep,SBF_data_rfmo_to_keep
atlantic_ocean_catch_5deg_1m_tunaatlasird_level0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/create_own_tuna_atlas/create_own_tuna_atlas_catch.R,FALSE,TRUE,FALSE,FALSE,FALSE,2017,TRUE,NULL,NULL,FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,FALSE,TRUE,FALSE,FALSE,no_reallocation,NULL,NULL
atlantic_ocean_catch_5deg_1m_tunaatlasird_level1,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/create_own_tuna_atlas/create_own_tuna_atlas_catch.R,FALSE,TRUE,FALSE,FALSE,FALSE,2017,TRUE,NULL,NULL,FALSE,NULL,NULL,NULL,TRUE,https://goo.gl/KriwxV,areas_conversion_factors_numtoweigth_ird,FALSE,TRUE,TRUE,FALSE,reallocate,NULL,NULL
atlantic_ocean_catch_5deg_1m_tunaatlasird_level2,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/create_own_tuna_atlas/create_own_tuna_atlas_catch.R,FALSE,TRUE,FALSE,FALSE,FALSE,2017,TRUE,NULL,NULL,FALSE,NULL,NULL,NULL,TRUE,https://goo.gl/KriwxV,areas_conversion_factors_numtoweigth_ird,TRUE,TRUE,TRUE,FALSE,reallocate,NULL,NULL
atlantic_ocean_catch_tunaatlasird_level0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/create_own_tuna_atlas/create_own_tuna_atlas_catch.R,FALSE,TRUE,FALSE,FALSE,FALSE,2017,TRUE,NULL,NULL,FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,FALSE,FALSE,FALSE,FALSE,no_reallocation,NULL,NULL
atlantic_ocean_catch_tunaatlasird_level1,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/create_own_tuna_atlas/create_own_tuna_atlas_catch.R,FALSE,TRUE,FALSE,FALSE,FALSE,2017,TRUE,NULL,NULL,FALSE,NULL,NULL,NULL,TRUE,https://goo.gl/KriwxV,areas_conversion_factors_numtoweigth_ird,FALSE,FALSE,FALSE,FALSE,reallocate,NULL,NULL
atlantic_ocean_catch_tunaatlasird_level2,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/create_own_tuna_atlas/create_own_tuna_atlas_catch.R,FALSE,TRUE,FALSE,FALSE,FALSE,2017,TRUE,NULL,NULL,FALSE,NULL,NULL,NULL,TRUE,https://goo.gl/KriwxV,areas_conversion_factors_numtoweigth_ird,TRUE,FALSE,FALSE,FALSE,reallocate,NULL,NULL
east_pacific_ocean_catch_5deg_1m_tunaatlasird_level0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/create_own_tuna_atlas/create_own_tuna_atlas_catch.R,FALSE,FALSE,TRUE,FALSE,FALSE,2017,NULL,TRUE,NULL,FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,FALSE,TRUE,FALSE,FALSE,no_reallocation,NULL,NULL
east_pacific_ocean_catch_5deg_1m_tunaatlasird_level1,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/create_own_tuna_atlas/create_own_tuna_atlas_catch.R,FALSE,FALSE,TRUE,FALSE,FALSE,2017,NULL,TRUE,NULL,FALSE,NULL,NULL,NULL,TRUE,https://goo.gl/KriwxV,areas_conversion_factors_numtoweigth_ird,FALSE,TRUE,TRUE,FALSE,reallocate,NULL,NULL
east_pacific_ocean_catch_5deg_1m_tunaatlasird_level2,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/create_own_tuna_atlas/create_own_tuna_atlas_catch.R,FALSE,FALSE,TRUE,FALSE,FALSE,2017,NULL,TRUE,NULL,FALSE,NULL,NULL,NULL,TRUE,https://goo.gl/KriwxV,areas_conversion_factors_numtoweigth_ird,TRUE,TRUE,TRUE,FALSE,reallocate,NULL,NULL
east_pacific_ocean_catch_tunaatlasird_level0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/create_own_tuna_atlas/create_own_tuna_atlas_catch.R,FALSE,FALSE,TRUE,FALSE,FALSE,2017,NULL,TRUE,NULL,FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,FALSE,FALSE,FALSE,FALSE,no_reallocation,NULL,NULL
