persistent_identifier,path_to_script_dataset_generation,path_to_raw_dataset,path_to_effort_dataset,spatial_stratification
atlantic_ocean_catch_1deg_1m_ps_tunaatlasICCAT_level0__bySchool,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/atlantic_ocean_catch_1deg_1m_ps_tunaatlasiccat_level0__byschool.R,http://data.d4science.org/Z2l1bk5vcGhQeWF6R2hYM1ZXaElmZzhxUTQ3MG1kelNHbWJQNStIS0N6Yz0,,
atlantic_ocean_effort_1deg_1m_ps_tunaatlasICCAT_level0__bySchool,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/atlantic_ocean_effort_1deg_1m_ps_tunaatlasiccat_level0__byschool.R,http://data.d4science.org/Z2l1bk5vcGhQeWF6R2hYM1ZXaElmZzhxUTQ3MG1kelNHbWJQNStIS0N6Yz0,,
atlantic_ocean_catch_tunaatlasICCAT_level0__noSchool,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/atlantic_ocean_catch_tunaatlasiccat_level0__noschool.R,http://data.d4science.org/eVNMTWRKb1VMY1d6R2hYM1ZXaElmb1l5L1pFYm5tUU5HbWJQNStIS0N6Yz0,,
atlantic_ocean_effort_tunaatlasICCAT_level0__noSchool,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/atlantic_ocean_effort_tunaatlasiccat_level0__noschool.R,http://data.d4science.org/eVNMTWRKb1VMY1d6R2hYM1ZXaElmb1l5L1pFYm5tUU5HbWJQNStIS0N6Yz0,,
atlantic_ocean_nominal_catch_tunaatlasICCAT_level0__bySamplingArea,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/atlantic_ocean_nominal_catch_tunaatlasiccat_level0.R,http://data.d4science.org/VnlISy9PNW9JMnV6R2hYM1ZXaElmc1hzdDUwem5iQU1HbWJQNStIS0N6Yz0,,SampAreaCode
atlantic_ocean_nominal_catch_tunaatlasICCAT_level0__byStockArea,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/atlantic_ocean_nominal_catch_tunaatlasiccat_level0.R,http://data.d4science.org/VnlISy9PNW9JMnV6R2hYM1ZXaElmc1hzdDUwem5iQU1HbWJQNStIS0N6Yz0,,Stock
east_pacific_ocean_catch_1deg_1m_bb_tunaatlasIATTC_level0__tuna_byFlag,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_catch_1deg_1m_bb_tunaatlasiattc_level0__byflag.R,http://data.d4science.org/WU1QUEhRa0xXUFd6R2hYM1ZXaElmdC9qN2x4aURQOVRHbWJQNStIS0N6Yz0,,
east_pacific_ocean_effort_1deg_1m_bb_tunaatlasIATTC_level0__tuna_byFlag,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_effort_1deg_1m_bb_tunaatlasiattc_level0__byflag.R,http://data.d4science.org/WU1QUEhRa0xXUFd6R2hYM1ZXaElmdC9qN2x4aURQOVRHbWJQNStIS0N6Yz0,,
east_pacific_ocean_catch_1deg_1m_ps_tunaatlasIATTC_level0__billfish_byFlag,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_catch_1deg_1m_ps_tunaatlasiattc_level0__byflag.R,http://data.d4science.org/dEFzKzkxYitIbCt6R2hYM1ZXaElma3ZNaU14b1ViRGFHbWJQNStIS0N6Yz0,,
east_pacific_ocean_effort_1deg_1m_ps_tunaatlasIATTC_level0__billfish_byFlag,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_effort_1deg_1m_ps_tunaatlasiattc_level0__byflag.R,http://data.d4science.org/dEFzKzkxYitIbCt6R2hYM1ZXaElma3ZNaU14b1ViRGFHbWJQNStIS0N6Yz0,,
