persistent_identifier,title,contact_owner,contact_originator,contact_metadata,contact_PointOfContact,contact_PrincipalInvestigator,contact_publisher,contact_processor,contact_data_structure_definition,subject,description,date_publication,date_download,format,langage,relation_source_download,relation_source_dataset,rights,source,lineage,supplemental_information,database_table_name,source_dataset_path_dataset
areas_task1_iotc,Areas used in the Nominal catches (task 1) dataset of the IOTC,ird@ird.fr,paul.taconet@ird.fr;fabio.fiorellato@iotc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,secretariat@iotc.org,fabio.fiorellato@iotc.org,ird@ird.fr,paul.taconet@ird.fr,,,The areas used in the nominal catches (task 1) dataset of the Indian Ocean Tuna Commission (IOTC). These areas are the FAO fishing areas F51 and F57.,,2016-03-25,,,,,,IOTC,"step1: The IOTC task 1 (nominal catch) public domain datasets was downloaded on the IOTC website.
step2: The codes and labels used for areas in these datasets were identified. A code list for areas was reconstitued.
step3: These areas correspond to the FAO fishing areas, hence, the geographical component of the code list was reconstitued from the FAO fishing area geospatial code list available and downlaoded here: http://www.fao.org/geonetwork/srv/en/main.home?uuid=ac02a460-da52-11dc-9d70-0017f293bd28
step4: The code list was integrated into the Sardara database",,area.areas_task1_iotc,http://data.d4science.org/eWFmVnMvaVFqS3FNQk5ZMDZka01KWWNMeGUvY1FSaXFHbWJQNStIS0N6Yz0
areas_tuna_rfmos_task1,Geospatial code list - areas used in catch-and-effort datasets (task 1) by the five tuna RFMOs,ird@ird.fr,emmanuel.blondel@fao.org;carlos.palma@iccat.int;laurent.floch@ird.f,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"Code list for areas used in catch-and-efforts (task 1) datasets by the five tuna Regional Fisheries Management Organisations (IOTC, ICCAT, IATTC, WCPFC, CCSBT).",,2017-11-13,,,,,,IRD,"step1: The code lists used as input of this code list were downloaded/composed and integrated into the Sardara database.
step2: Trough a SQL query perfomed on the Sardara database: the code list was generated by merging (UNION) all the source code lists.",,area.areas_tuna_rfmos_task1,http://data.d4science.org/b2poNWw4ZlBaK3FZdFBua3lVbFNXRjFLU2kyNWRiR21HbWJQNStIS0N6Yz0
areas_tuna_rfmos_task2,Geospatial code list - areas used in catch-and-effort datasets (task 2) by the five tuna RFMOs,ird@ird.fr,fabio.fiorellato@iotc.org;emmanuel.blondel@fao.org laurent.floch@ird.fr;carlos.palma@iccat.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"Code list for areas used in catch-and-efforts (task 2) datasets by the five tuna Regional Fisheries Management Organisations (IOTC, ICCAT, IATTC, WCPFC, CCSBT).",,2017-11-13,,,,,,IRD,"step1: The code lists used as input of this code list were downloaded/composed and integrated into the Sardara database.
step2: Trough a SQL query perfomed on the Sardara database: the code list was generated by merging (UNION) all the source code lists.",,area.areas_tuna_rfmos_task2,http://data.d4science.org/K3gvb3pvUmdzdVZoTmppdjlsK0l0aWdCVnk0ZVdva3VHbWJQNStIS0N6Yz0
catchtype_ccsbt,Code list for types of catch used by CCSBT,ird@ird.fr,paul.taconet@ird.fr;CMillar@ccsbt.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,CMillar@ccsbt.org,CMillar@ccsbt.org,ird@ird.fr,paul.taconet@ird.fr,,,"Code list for types of catches used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT). Presently, the CCSBT does not have any catch type code list, since the public datasets do not contain a catch type stratification. This table was created by the database manager in order to standardize the organization of the code lists and to facilitate the integration of the data within the Sardara database.",,2017-05-09,,,,,,CCSBT,"step1: The code list was constitued. 
step2: The code list was integrated into the Sardara database",,catchtype.catchtype_ccsbt,http://data.d4science.org/Mm43RHlhWFFoWlpoTmppdjlsK0l0bE5RVDFQVVc1cE1HbWJQNStIS0N6Yz0
catchtype_iattc,Code list for types of catch used by IATTC,ird@ird.fr,paul.taconet@ird.fr;nvogel@iattc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iattc.org,nvogel@iattc.org,ird@ird.fr,paul.taconet@ird.fr,,,"Code list for types of catches used by the Inter-American Tropical Tuna Commission (IATTC). Presently, the IATTC does not have any catch type code list, since the public datasets do not have a catch type detail. This table was created by the database manager in order to standardize the organization of the code lists and to facilitate the integration of the data within the Sardara database.",,2016-04-05,,,,,,IATTC,"step1: The code list was constitued. 
step2: The code list was integrated into the Sardara database",,catchtype.catchtype_iattc,http://data.d4science.org/VXIwbUozbjJlS3RoTmppdjlsK0l0cFZ3UWdEQ1dQcE5HbWJQNStIS0N6Yz0
catchtype_iccat,Code list for types of catch used by ICCAT,ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iccat.int,carlos.palma@iccat.int,ird@ird.fr,paul.taconet@ird.fr,,,Code list for types of catches used by the International Commission for the Conservation of Atlantic Tunas (ICCAT). This code list was built using as input the ICCAT nominal catch (task 1) dataset.,,2016-04-05,,,,,,ICCAT,"step1: The ICCAT nominal catch (task1) public domain datasets was downloaded.
step2: The codes and labels used for types of catch in this dataset were identified. A code list for types of catch was reconstitued.
step3: The code list was integrated into the Sardara database",,catchtype.catchtype_iccat,http://data.d4science.org/V2tFckFYTllyWVZoTmppdjlsK0l0aFIvYk1qWitXMmVHbWJQNStIS0N6Yz0
catchtype_iotc,Code list for types of catch used by IOTC,ird@ird.fr,paul.taconet@ird.fr;fabio.fiorellato@iotc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,secretariat@iotc.org,fabio.fiorellato@iotc.org,ird@ird.fr,paul.taconet@ird.fr,,,"Code list for types of catches used by the Indian Ocean Tuna Commission (IOTC). Presently, the IOTC does not have any catch type code list, since the public datasets do not have a catch type detail. This table was created by the database manager in order to standardize the organization of the code lists and to facilitate the integration of the data within the Sardara database.",,2016-04-05,,,,,,IOTC,"step1: The code list was constitued. 
step2: The code list was integrated into the Sardara database",,catchtype.catchtype_iotc,http://data.d4science.org/SVRicCt0cDd5MHBoTmppdjlsK0l0bmxVMzNJVkw2UEFHbWJQNStIS0N6Yz0
catchtype_tunaatlas,Code list for types of catch used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Code list for types of catch used in the French National Research Institute for Sustainable Development (IRD) global Tuna Atlas.,,2016-03-11,,,,,,IRD,"step1: The code lists used by the five tuna RFMOs for types of catch were collated.
step2: Based on these code lists, a single code list gathering all the types of catch used by the tuna RFMOs was created.
step3: The code list was integrated into the Sardara database.",,catchtype.catchtype_tunaatlas,http://data.d4science.org/VFNEeFdQb25YclZoTmppdjlsK0l0bVowaFhXS3JXS1dHbWJQNStIS0N6Yz0
catchtype_wcpfc,Code list for types of catch used by WCPFC,ird@ird.fr,paul.taconet@ird.fr;PeterW@spc.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,wcpfc@wcpfc.int,PeterW@spc.int,ird@ird.fr,paul.taconet@ird.fr,,,"Code list for types of catches used by the Western and Central Pacific Fisheries Commission (WCPFC). Presently, WCPFC does not have any catch type code list, since the public datasets do not have a catch type detail. This table was created by the database manager in order to standardize the organization of the code lists and to facilitate the integration of the data  within the Sardara database.",,2016-04-05,,,,,,WCPFC,"step1: The code list was constitued. 
step2: The code list was integrated into the Sardara database",,catchtype.catchtype_wcpfc,http://data.d4science.org/eUFlTlFIUktrcVpoTmppdjlsK0l0b3dRdmt4OEprT3NHbWJQNStIS0N6Yz0
catchunit_rfmos,Code list for units of catch used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Code list for units of catches used in the French National Research Institute for Sustainable Development (IRD) global Tuna Atlas.,,2016-03-11,,,,,,IRD,"step1: The code lists used by the five tuna RFMOs for units of catch were collated.
step2: Based on these code lists, a single code list gathering the unique combination of the units of catch used by the tuna RFMOs was created.
step3: The code list was integrated into the Sardara database.",,unit.catchunit_rfmos,http://data.d4science.org/czV2NmhDS0l0bVZoTmppdjlsK0l0dUVvUmt4UitOL2tHbWJQNStIS0N6Yz0
