persistent_identifier,title,contact_owner,contact_originator,contact_metadata,contact_PointOfContact,contact_PrincipalInvestigator,contact_publisher,contact_processor,contact_data_structure_definition,subject,description,date_publication,date_download,format,langage,relation_source_download,relation_source_dataset,rights,source,lineage,supplemental_information,database_table_name,source_dataset_path_dataset
catchtype_ccsbt,Code list for types of catch used by CCSBT,ird@ird.fr,paul.taconet@ird.fr;CMillar@ccsbt.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,CMillar@ccsbt.org,CMillar@ccsbt.org,ird@ird.fr,paul.taconet@ird.fr,,,"Code list for types of catches used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT). Presently, the CCSBT does not have any catch type code list, since the public datasets do not contain a catch type stratification. This table was created by the database manager in order to standardize the organization of the code lists and to facilitate the integration of the data within the Sardara database.",,2017-05-09,,,,,,CCSBT,"step1: The code list was constitued. 
step2: The code list was integrated into the Sardara database",,catchtype.catchtype_ccsbt,
effortunit_ccsbt,Code list for units of fishing effort used by CCSBT,ird@ird.fr,paul.taconet@ird.fr;CMillar@ccsbt.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,CMillar@ccsbt.org,CMillar@ccsbt.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for units of fishing effort used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT). This code list was built using as input various CCSBT public domain datasets.,,2017-05-09,,,,,,CCSBT,"step1: The CCSBT public domain datasets were collated.
step2: The codes and labels used for units of efforts in these datasets were identified. A code list for units of efforts was reconstitued.
step3: The code list was integrated into the Sardara database",,unit.effortunit_ccsbt,
flag_ccsbt,Code list for flags used by CCSBT,ird@ird.fr,paul.taconet@ird.fr;CMillar@ccsbt.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,CMillar@ccsbt.org,CMillar@ccsbt.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for flags used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT). This code list was built using as input various CCSBT public domain datasets.,,2017-03-22,,,https://www.ccsbt.org/en/content/sbt-data,,,CCSBT,"step1: The CCSBT public domain datasets were collated.
step2: The codes and labels used for flags in these datasets were identified. A code list for flags was reconstitued.
step3: The code list was integrated into the Sardara database",,flag.flag_ccsbt,
gear_ccsbt,Code list for fising gears used by CCSBT,ird@ird.fr,paul.taconet@ird.fr;CMillar@ccsbt.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,CMillar@ccsbt.org,CMillar@ccsbt.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for units of efforts used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT). This code list was built using as input various CCSBT public domain datasets.,,2017-04-13,,,,,,CCSBT,"step1: The CCSBT public domain datasets were collated.
step2: The codes and labels used for fising gears in these datasets were identified. A code list for gear was reconstitued.
step3: The code list was integrated into the Sardara database",,gear.gear_ccsbt,
schooltype_ccsbt,Code list for types of schools used by CCSBT,ird@ird.fr,paul.taconet@ird.fr;CMillar@ccsbt.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,CMillar@ccsbt.org,CMillar@ccsbt.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for types of schools used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT). This code list was built using as input various CCSBT public domain datasets.,,2017-05-09,,,,,,CCSBT,"step1: The CCSBT public domain datasets were collated.
step2: The codes and labels used for types of schools in these datasets were identified. A code list for types of schools was reconstitued.
step3: The code list was integrated into the Sardara database",,schooltype.schooltype_ccsbt,
species_ccsbt,Code list for species used by CCSBT,ird@ird.fr,paul.taconet@ird.fr;CMillar@ccsbt.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,CMillar@ccsbt.org,CMillar@ccsbt.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for species used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT). This code list was built using as input various CCSBT public domain datasets.,,2017-05-09,,,,,,CCSBT,"step1: The CCSBT public domain datasets were collated.
step2: The codes and labels used for species in these datasets were identified. A code list for species was reconstitued.
step3: The code list was integrated into the Sardara database",,species.species_ccsbt,
cwp_grid,Areal grid system recommended by the Coordinating Working Party on Fishery Statistics (CWP).,FAO-HQ@fao.org,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,CWP-Secretariat@fao.org,CWP-Secretariat@fao.org,ird@ird.fr,paul.taconet@ird.fr,,,"Recognizing the need for areal breakdown, the CWP has suggested that a graticule-based system could be used throughout the globe and has recommended that the quadrangles (also called rectangles or squares) be coded and identified according to the following standard rules:

a) the identification of the latitude should be given before that of the longitude;

b) each quadrangle (rectangle) should be identified by its graticule-based boundaries as defined by the latitude and the longitude meeting in its corner nearest to the point where the Equator is crossed by the Greenwich Meridian;

c) the foregoing data on latitude and longitude should be preceded by (i) the first digit identifying the size of the quadrangle and then by (ii) a second digit indicating the quadrant of the globe in which the quadrangle is located.

More detail here: http://www.fao.org/fishery/cwp/handbook/G/en",,2016-03-25,,,http://www.fao.org/fishery/cwp/handbook/G/en,,,FAO,"step1: The areal grid was built following the CWP recommendations available here: http://www.fao.org/fishery/cwp/handbook/G/en .
step2: The code list was integrated into the Sardara database.",,area.cwp_grid,
rfmos_convention_areas_fao,Tuna RFMOs geographic areas of competence,FAO-HQ@fao.org,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,emmanuel.blondel@fao.org,FAO-HQ@fao.org,FAO-HQ@fao.org,paul.taconet@ird.fr,,,The Tuna Regional Fisheries Management Organizations geographic areas of competence.,,2016-04-06,,,,,,FAO,"
step1: The geographical dataset was provided by the Food and Agriculture Organization of the United Nations (FAO) 
step2: The code list was integrated into the Sardara database.",,area.rfmos_convention_areas_fao,
flag_fao_cwp,Standard country or area codes for statistical use,ird@ird.fr,statistics@un.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,,statistics@un.org,statistics@un.org,paul.taconet@ird.fr,,,"The list of countries or areas contains the names of countries or areas in alphabetical order, their three-digit numerical codes used for statistical processing purposes by the Statistics Division of the United Nations Secretariat, and their three-digit alphabetical codes assigned of the International Organization for Standardization (ISO).1 In general, this list of countries or areas includes those countries or areas for which statistical data are compiled by the Statistics Division of the United Nations Secretariat.

The names of countries or areas refer to their short form used in day-to-day operations of the United Nations and not necessarily to their official name as used in formal documents. These names are based on the United Nations Terminology Database (UNTERM).2 The designations employed and the presentation of material at this site do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries.",,2016-03-14,,,http://www.fao.org/fishery/cwp/handbook/D/en,,,FAO,"step1: The code list was downloaded on the 2016-03-14 at this url: ftp://ftp.fao.org/FI/DOCUMENT/cwp/handbook/country.pdf reached through this web page: http://www.fao.org/fishery/cwp/handbook/D/en 
step2: The code list was transformed in CSV format.
step3: A column named continent_sting containing the label of the continent associated to the country or area was added to the code list.
step4: The code list was integrated into the Sardara database.",,flag.flag_fao_cwp,
isscfg_revision_1,International Standard Classification of Fishing Gears (ISSCFG Rev.1),FAO-HQ@fao.org,luca.garibaldi@fao.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,,CWP-Secretariat@fao.org,CWP-Secretariat@fao.org,paul.taconet@ird.fr,,,"The International Standard Statistical Classification of Fishing Gear (ISSCFG) was originally adopted during the 10th Session of the CWP (Madrid, 22-29 July 1980). The revised Classification - ISSCFG Revision 1 (Annex M II) - has been endorsed and adopted for CWP Member's implementation by the CWP at its 25th Session (Rome, 23-26 February 2016).",,2017-03-20,,,http://www.fao.org/fishery/cwp/handbook/M/en,,,FAO,"step1: The code list was downloaded on the 2017-03-20 at this url: ftp://ftp.fao.org/FI/DOCUMENT/cwp/handbook/annex/AnnexM2fishinggear.pdf reached through this web page: http://www.fao.org/fishery/cwp/handbook/M/en 
step2: The code list was transformed in CSV format.
step3: The code list was integrated into the Sardara database.",,gear.isscfg_revision_1,
